Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Primates,Cercopithecidae,Macaca thibetana thibetana,Macaca thibetana thibetana,1105.6,1219.7,1235.6,1427.7,1580.8,1619.8,2143.2,,2883.4,2899.4,2957.5,2973.5
Primates,Cercopithecidae,Mandrillus leucophaeus,Drill,1105.6,1219.7,1235.6,1413.7,1580.8,1619.8,2129.1,,2883.4,2899.4,2957.5,2973.5
Pholidota,Manidae,Manis javanica,Malayan pangolin,1105.6,1205.6,1221.6,1453.7,1566.8,1582.7,2145.1,,2857.4,2873.4,2973.5,2989.5
Pholidota,Manidae,Manis pentadactyla,Chinese pangolin,1105.6,1205.6,1221.6,1453.7,1566.8,1582.7,2131.1,,2857.4,2873.4,2973.5,2989.5
Rodentia,Sciuridae,Marmota flaviventris,Yellow-bellied marmot,1105.6,1177.6,1193.6,1453.7,1578.8,1619.8,2143.2,,2883.4,2899.4,2983.5,2999.5
Rodentia,Sciuridae,Marmota marmota marmota,Alpine marmot,1105.6,1177.6,1193.6,1453.7,1578.8,1619.8,2143.2,,2883.4,2899.4,2983.5,2999.5
Rodentia,Sciuridae,Marmota monax,Woodchuck,1105.6,1177.6,1193.6,1453.7,1578.8,1619.8,2143.2,,2883.4,2899.4,2983.5,2999.5
Rodentia,Muridae,Mastomys coucha,Southern multimammate mouse,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2143.2,,2925.4,2941.4,2957.5,2973.5
Carnivora,Mustelidae,Meles meles,Eurasian badger,1105.6,1219.7,1235.6,1453.7,1566.8,1639.8,2147.1,,2853.4,2869.4,2957.5,2973.5
Rodentia,Muridae,Meriones unguiculatus,Mongolian jird,1105.6,1187.6,1203.6,1453.7,1566.8,1582.7,2145.1,,2857.4,2873.4,2987.5,3003.5
Rodentia,Cricetidae,Mesocricetus auratus,Golden hamster,1105.6,1187.6,1203.6,1453.7,1566.8,1578.8,2129.1,,2883.4,2899.4,3033.5,3049.5
Artiodactyla,Ziphiidae,Mesoplodon densirostris,Blainville's beaked whale,1063.6,1189.6,1205.6,1441.7,1550.8,1654.8,2119.1,,2883.4,2899.4,3007.5,3023.5
Primates,Cheirogaleidae,Microcebus murinus,Gray mouse lemur,1105.6,1205.6,1221.6,1427.7,1580.8,1619.8,2131.1,,2883.4,2899.4,2973.5,2989.5
Rodentia,Cricetidae,Microtus ochrogaster,Prairie vole,1105.6,1187.6,1203.6,1453.7,1552.7,1592.8,2129.1,,2883.4,2899.4,3043.5,3059.5
Rodentia,Cricetidae,Microtus oregoni,Creeping vole,1105.6,1177.6,1193.6,1453.7,1552.7,1592.8,2129.1,,2883.4,2899.4,3043.5,3059.5
Chiroptera,Vespertilionidae,Miniopterus natalensis,Natal long-fingered bat,1105.6,1230.7,1246.7,1453.7,1568.7,1548.8,2225.1,,2883.4,2899.4,2953.5,2969.5
Carnivora,Phocidae,Mirounga angustirostris,Northern elephant seal,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2171.1,,2853.4,,2957.5,
Carnivora,Phocidae,Mirounga leonina,Southern elephant seal,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2171.1,,2853.4,,2957.5,
Chiroptera,Molossidae,Molossus molossus,Pallas' mastiff bat,1105.6,1230.7,1246.7,1453.7,1594.8,1520.8,2161.1,,2883.4,2899.4,2983.5,2999.5
Didelphimorphia,Didelphidae,Monodelphis domestica,Gray short-tailed opossum,1162.6,1159.6,1175.6,1411.7,1598.8,1635.8,2161.1,,2911.5,2927.4,2929.5,2945.5
Artiodactyla,Monodontidae,Monodon monoceros,Narwhal,1079.6,1189.6,1205.6,1443.7,1550.8,1652.8,2089.1,,2883.4,2899.4,3051.5,3067.5
Artiodactyla,Moschidae,Moschus berezovskii,Chinese forest musk deer,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3017.5,3033.5
Rodentia,Muridae,Mus caroli,Ryukyu mouse,1105.6,1187.6,1203.6,1453.7,1570.7,1566.8,2159.1,,2925.4,2941.4,2987.5,3003.5
Rodentia,Muridae,Mus musculus,Mouse,1105.6,1178.6,1194.6,1453.7,1570.7,1566.8,2159.1,,2895.4,2911.4,2931.5,2947.5
Carnivora,Mustelidae,Mustela erminea,Ermine,1105.6,1219.7,1235.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Mustelidae,Mustela lutreola,European mink,1105.6,1219.7,1235.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Mustelidae,Mustela nigripes,Black-footed ferret,1105.6,1219.7,1235.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Mustelidae,Mustela putorius furo,European domestic ferret,1105.6,1219.7,1235.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Rodentia,Cricetidae,Myodes glareolus,Bank vole,1105.6,1187.6,1203.6,1453.7,1552.7,1592.8,2129.1,,2883.4,2899.4,3043.5,3059.5
Chiroptera,Vespertilionidae,Myotis daubentonii,Daubenton's bat,1105.6,1230.7,1246.7,1453.7,1594.8,1548.8,2147.1,,2883.4,2899.4,2953.5,2969.5
Chiroptera,Vespertilionidae,Myotis lucifugus,Little brown bat,1105.6,1230.7,1246.7,1453.7,1594.8,1548.8,2147.1,,2883.4,2899.4,2953.5,2969.5
Chiroptera,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,1105.6,1230.7,1246.7,1453.7,1594.8,1548.8,2147.1,,2883.4,2899.4,2953.5,2969.5
Rodentia,Spalacidae,Nannospalax galili,Northern Israeli blind subterranean mole rat,1105.6,1161.6,1177.6,1453.7,1566.8,1596.8,2143.2,,2867.4,2883.4,3031.5,3047.5
Carnivora,Felidae,Neofelis nebulosa,Clouded leopard,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Phocidae,Neomonachus schauinslandi,Hawaiian monk seal,1105.6,1245.6,1261.6,1453.7,1566.8,1639.8,2171.1,,2853.4,2869.4,2957.5,2973.5
