Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Accipitriformes,Accipitridae,Aquila Chrysaetos Chrysaetos,Aquila Chrysaetos Chrysaetos,1220.7,1221.6,1552.8,1578.8,1594.8,1603.8,1579.7,2108.0,2466.2,2511.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Psittacidae,Psittaciformes,Ara ararauna,Blue-and-yellow macaw,1192.6,1221.6,1552.8,1564.8,1580.8,1612.8,1609.8,2135.0,2493.2,2511.3,2804.3,2927.5,3097.4,3113.4,3150.5,3166.5
Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy turnstone,1220.7,1221.6,1608.8,1550.8,1566.8,1589.8,1609.8,2108.0,2466.2,2559.2,2777.3,2969.5,3071.4,3087.4,3192.5,3208.5
Strigiformes,Strigidae,Athene Cunicularia,Burrowing owl,1220.7,1221.6,1568.8,1578.8,1594.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2913.5,3097.4,3113.4,3142.4,3158.4
Strigiformes,Strigidae,Athene noctua,Litlle owl,1220.7,1221.6,1568.8,1578.8,1594.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2913.5,3097.4,3113.4,3142.4,3158.4
Gruiformes,Rallidae,Atlantisia Rogersi,Inaccessible Island rail,1220.7,1221.6,1552.8,1578.8,1594.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2985.5,,,3152.5,3168.5
Anseriformes,Anatidae,Aythya Fuligula,Tufted duck,1192.6,1221.6,1578.8,1616.8,1632.8,1603.8,1609.8,2108.0,2466.2,2511.3,2804.3,2969.5,3097.4,3113.4,3152.5,3168.5
Pelecaniformes,Balaenicipitidae,Balaeniceps Rex,Shoebill,1220.7,1221.6,1552.8,1578.8,1594.8,1603.8,1596.8,2108.0,2466.2,2511.3,2804.3,2927.5,,,3166.5,3182.5
Gruiformes,Gruidae,Balearica Regulorum Gibbericeps,East African grey crowned-crane,1220.7,1221.6,1552.8,1550.8,1566.8,1603.8,1596.8,2108.0,2466.2,2497.2,2804.3,2927.5,3097.4,3113.4,3152.5,3168.5
Passeriformes,Bombycillidae,Bombycilla Garrulus,Bohemian waxwing,1220.7,1221.6,1578.8,1592.8,1608.8,1603.8,1608.8,2108.0,2466.2,2497.2,2777.3,2897.5,3111.4,3127.4,3166.5,3182.5
Bucerotiformes,Bucerotidae,Buceros Rhinoceros Silvestris,Buceros Rhinoceros Silvestris,1220.7,1221.6,1568.8,1578.8,1594.8,,,2108.0,2466.2,2497.2,2804.3,2927.5,,,3178.5,3194.5
Bucerotiformes,Bucorvidae,Bucorvus Abyssinicus,Northern ground-hornbill,1220.7,1221.6,1552.8,1550.8,1566.8,1603.8,1594.8,2108.0,2466.2,2497.2,2804.3,2913.5,3097.4,3113.4,3178.5,3194.5
Accipitriformes,Accipitridae,Buteo buteo,Eurasian buzzard,1220.7,1221.6,1552.8,1578.8,1594.8,1603.8,1566.8,2108.0,2466.2,2511.3,2804.3,2913.5,3097.4,3113.4,3178.5,3194.5
Charadriiformes,Scolopacidae,Calidris pugnax,Ruff,1220.7,1221.6,1608.8,1550.8,1566.8,1589.8,1609.8,2108.0,2466.2,2559.2,2777.3,2985.5,3071.4,3087.4,3166.5,3182.5
Galliformes,Odontophoridae,Callipepla Squamata,Scaled quail,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2539.3,2777.3,2927.5,3097.4,3113.4,3192.5,3208.5
Columbiformes,Columbidae,Caloenas Nicobarica,Nicobar pigeon,1192.6,1221.6,1578.8,1592.8,1608.8,1596.8,1579.7,2108.0,2466.2,2497.2,2804.3,2909.5,3097.4,3113.4,3150.4,3166.4
Procellariiformes,Procellariidae,Calonectris borealis,Cory's shearwater,1220.7,1195.6,1568.8,1550.8,1566.8,1603.8,1579.7,2108.0,2466.2,2497.2,2804.3,2913.5,3106.4,3122.4,3172.5,3188.4
Apodiformes,Trochilidae,Calypte Anna,Anna's hummingbird,1292.7,1267.6,1578.8,1592.8,1608.8,1598.8,1609.8,2108.0,2466.2,2511.3,2846.3,2927.5,3126.4,3142.4,3128.4,3144.4
Passeriformes,Thraupidae,Camarhynchus Parvulus,Small tree-finch,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Dendrocolaptidae,Campylorhamphus Procurvoides,Campylorhamphus Procurvoides,1220.7,1237.6,1578.8,1564.8,1580.8,1589.8,1596.8,2108.0,2466.2,2525.3,2777.3,2927.5,3097.4,3113.4,3140.5,3156.5
Cariamiformes,Cariamidae,Cariama Cristata,Red-legged seriema,1220.7,1235.6,1578.8,1578.8,1594.8,1603.8,1596.8,2108.0,2466.2,2499.2,2804.3,2913.5,3097.4,3113.4,3182.5,3198.5
Accipitriformes,Cathartidae,Cathartes aura,Turkey vulture,1220.7,1221.6,1568.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2497.2,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Passeriformes,Turdidae,Catharus Ustulatus,Russet-backed thrush,1220.7,1221.6,1578.8,1564.8,1580.8,1589.8,1608.8,2108.0,2466.2,2539.3,2777.3,2927.5,3111.4,3127.4,3156.5,3172.5
Galliformes,Phasianidae,Centrocercus Urophasianus,Sage grouse,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2553.3,2777.3,2927.5,3097.4,3113.4,3192.5,3208.5
Passeriformes,Cotingidae,Cephalopterus ornatus,Amazonian umbrellabird,1220.7,1221.6,1578.8,1594.8,1610.8,1603.8,1609.8,2108.0,2466.2,2511.3,2777.3,2927.5,3097.4,3113.4,3140.5,3156.5
Passeriformes,Certhiidae,Certhia brachydactyla,short-toed tree-creeper,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1608.8,2108.0,2466.2,2539.3,,2913.5,3111.4,3127.4,3166.5,3182.5
Apodiformes,Apodidae,Chaetura Pelagica,Chimney swift,1220.7,1221.6,1568.8,1564.8,1580.8,1603.8,1609.8,2108.0,2466.2,2539.3,2804.3,2927.5,3120.4,3136.4,3166.5,3182.5
Passeriformes,Sylviidae,Chamaea fasciata,Wrentit,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1608.8,2108.0,2466.2,2497.2,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Charadriiformes,Charadriidae,Charadrius Vociferus,Killdeer,1220.7,1221.6,1578.8,1550.8,1566.8,1589.8,1609.8,2108.0,2466.2,2525.3,2777.3,2955.5,3090.4,3106.4,3156.5,3172.5
